scanner_name,scanner_variant,scanner_params,events,h,tp,sl,label_mode,same_bar_policy,folds_used,profitable_folds,profitable_fold_ratio,total_test_trades,min_fold_test_trades,median_threshold,threshold_std,test_ap_mean,test_ap_std,total_test_net_profit_r,avg_r_per_trade,mean_test_win_rate,mean_test_recall,mean_valid_profit_r,fold_thresholds,fold_test_trades,fold_test_profit_r
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4975,30,2.0,0.5,first_touch,drop,3,3,1.0,991,282,0.4983,0.0008981462390205131,0.21547552754926322,0.004960169631979324,37.0,0.03733602421796166,0.21510610877054848,0.6736443381180224,50.5,"[0.4983, 0.4972, 0.4994]","[282, 425, 284]","[21.5, 15.0, 0.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4959,30,1.5,0.5,first_touch,drop,3,3,1.0,887,203,0.5,0.0003399346342395069,0.28866008098972956,0.010215193598455406,22.5,0.02536640360766629,0.2636291769612379,0.5963789391270308,22.5,"[0.5002, 0.4994, 0.5]","[203, 461, 223]","[6.5, 9.5, 6.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4976,15,2.0,0.5,first_touch,drop,3,2,0.6666666666666666,1016,333,0.4977,0.0003559026084010565,0.19961469338421223,0.01234392620949015,19.5,0.019192913385826772,0.2079207186185207,0.7123985258229991,29.666666666666668,"[0.4977, 0.4976, 0.4984]","[334, 333, 349]","[13.0, 13.5, -7.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4959,10,1.5,0.5,first_touch,drop,3,2,0.6666666666666666,988,290,0.498,0.010654055044389857,0.26534811295652033,0.00384466262014165,14.0,0.01417004048582996,0.25631961347261595,0.6771366693917359,19.333333333333332,"[0.4755, 0.4982, 0.498]","[290, 399, 299]","[-1.0, 10.5, 4.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4982,30,1.5,1.0,first_touch,drop,3,2,0.6666666666666666,653,110,0.5004,0.0021139746660943717,0.4187632536166688,0.03473045827389589,4.5,0.006891271056661562,0.4151997012462128,0.43470497935917085,31.333333333333332,"[0.5014, 0.4965, 0.5004]","[110, 387, 156]","[7.5, -17.0, 14.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4988,30,1.5,1.5,first_touch,drop,3,2,0.6666666666666666,596,92,0.5011,0.0025420901286583664,0.49651855863516126,0.018100866541689742,-21.0,-0.03523489932885906,0.49918210739891533,0.40565026807959875,9.5,"[0.5011, 0.4985, 0.5047]","[157, 347, 92]","[1.5, -28.5, 6.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4982,15,1.5,1.0,first_touch,drop,3,1,0.3333333333333333,714,93,0.4998,0.001211977264179861,0.4083189011513129,0.02743956593574113,8.5,0.011904761904761904,0.41793020403678655,0.4922874335845666,23.0,"[0.5007, 0.4978, 0.4998]","[93, 408, 213]","[14.5, -3.0, -3.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4986,30,2.0,1.0,first_touch,drop,3,1,0.3333333333333333,1064,235,0.4995,0.0035826743580118386,0.34736767617163705,0.021745638608201362,4.0,0.0037593984962406013,0.3403520456283709,0.708468891715084,17.0,"[0.4995, 0.4919, 0.4995]","[235, 416, 413]","[29.0, -17.0, -8.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4991,30,2.0,1.5,first_touch,drop,3,1,0.3333333333333333,841,81,0.4988,0.0013199326582149023,0.42920244936500146,0.037127446551879995,-50.5,-0.06004756242568371,0.4414845905278937,0.5556809367822584,24.666666666666668,"[0.4988, 0.4976, 0.5008]","[331, 429, 81]","[-3.0, -73.0, 25.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",4988,15,1.5,1.5,first_touch,drop,3,0,0.0,322,90,0.5007,0.0015456030825826347,0.4676908866206537,0.019721538054862372,-21.0,-0.06521739130434782,0.4809978363242968,0.22684422401944793,7.5,"[0.5037, 0.5002, 0.5007]","[135, 90, 97]","[-16.5, -3.0, -1.5]"
