scanner_name,scanner_variant,scanner_params,events,h,tp,sl,label_mode,same_bar_policy,folds_used,profitable_folds,profitable_fold_ratio,total_test_trades,min_fold_test_trades,median_threshold,threshold_std,test_ap_mean,test_ap_std,total_test_net_profit_r,avg_r_per_trade,mean_test_win_rate,mean_test_recall,mean_valid_profit_r,fold_thresholds,fold_test_trades,fold_test_profit_r
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.65,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.65, ""range_lo"": 0.3, ""spread_mult"": 1.0}",2536,2,1.5,0.5,first_touch,drop,3,0,0.0,272,84,0.5,0.000588784057755194,0.2613880381560179,0.010924986473953487,-36.0,-0.1323529411764706,0.18274596660369577,0.5734767025089605,-2.5,"[0.5, 0.4996, 0.501]","[102, 86, 84]","[-11.0, -7.0, -18.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.75,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.75, ""range_lo"": 0.3, ""spread_mult"": 1.0}",2288,5,2.5,0.5,first_touch,drop,3,0,0.0,295,86,0.4991,0.01031837627191843,0.14890070569187877,0.007062223575248919,-36.5,-0.12372881355932204,0.12544911457222105,0.6847222222222221,0.5,"[0.478, 0.5006, 0.4991]","[86, 100, 109]","[-10.0, -14.0, -12.5]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.1","{""lookback"": 60, ""min_break_atr"": 0.1}",8919,2,1.5,1.0,first_touch,drop,3,0,0.0,302,84,0.5186,0.02130117367658412,0.3043110391178692,0.013826070639064424,-37.0,-0.12251655629139073,0.3547260403696047,0.1603091560371346,-10.5,"[0.5525, 0.5012, 0.5186]","[117, 101, 84]","[-22.0, -13.5, -1.5]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.1,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.1, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",1417,10,2.0,1.0,first_touch,drop,3,0,0.0,318,97,0.4995,0.003315954697452225,0.29614220614205805,0.021196337138216323,-39.0,-0.12264150943396226,0.29361170816446663,0.8459910459910459,3.6666666666666665,"[0.4995, 0.4929, 0.5003]","[97, 118, 103]","[-10.0, -22.0, -7.0]"
flow_reversal,"flow_reversal|flow_abs=0.03,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.03, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",2499,15,2.5,1.0,first_touch,drop,3,0,0.0,379,89,0.5006,0.0020154955277108134,0.27877140886413415,0.026934423146416156,-39.5,-0.10422163588390501,0.25175371112998585,0.5281949934123847,27.166666666666668,"[0.4972, 0.5006, 0.502]","[189, 89, 101]","[-14.0, -22.5, -3.0]"
flow_reversal,"flow_reversal|flow_abs=0.08,obi_abs=0.0,range_hi=0.7,range_lo=0.3,spread_mult=1.0","{""flow_abs"": 0.08, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.3, ""spread_mult"": 1.0}",2316,2,1.5,0.5,first_touch,drop,3,0,0.0,289,85,0.4981,0.0016499158227686124,0.28083358498424965,0.03949165991412454,-40.5,-0.14013840830449828,0.18056561085972853,0.6414677276746242,-1.3333333333333333,"[0.4981, 0.4996, 0.4956]","[104, 85, 100]","[-18.0, -10.5, -12.0]"
flow_reversal,"flow_reversal|flow_abs=0.05,obi_abs=0.0,range_hi=0.7,range_lo=0.35,spread_mult=1.0","{""flow_abs"": 0.05, ""obi_abs"": 0.0, ""range_hi"": 0.7, ""range_lo"": 0.35, ""spread_mult"": 1.0}",3054,5,2.5,0.5,first_touch,drop,3,0,0.0,328,91,0.513,0.007074052743811153,0.20114057501367677,0.06540449879451544,-41.0,-0.125,0.12854395604395605,0.5405982905982906,-2.3333333333333335,"[0.5052, 0.513, 0.5225]","[91, 112, 125]","[-3.5, -5.0, -32.5]"
breakout_60,"breakout_60|lookback=30,min_break_atr=0.05","{""lookback"": 30, ""min_break_atr"": 0.05}",14994,2,1.5,1.0,first_touch,drop,3,0,0.0,265,80,0.5099,0.020688321987697954,0.2721173587318079,0.019218188792064623,-42.5,-0.16037735849056603,0.33633290468396854,0.09028604190797264,-5.0,"[0.5099, 0.502, 0.5493]","[94, 80, 91]","[-24.0, -12.5, -6.0]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.1","{""lookback"": 60, ""min_break_atr"": 0.1}",8950,5,2.0,1.0,first_touch,drop,3,0,0.0,376,81,0.5035,0.010078800634114295,0.28495704816278233,0.011347770435954826,-43.0,-0.11436170212765957,0.2953773733150232,0.15303034201228086,-8.666666666666666,"[0.5035, 0.5003, 0.5231]","[81, 139, 156]","[-9.0, -16.0, -18.0]"
breakout_60,"breakout_60|lookback=60,min_break_atr=0.05","{""lookback"": 60, ""min_break_atr"": 0.05}",9507,3,1.5,1.0,first_touch,drop,3,0,0.0,371,87,0.5045,0.015896610400403674,0.3365444297378167,0.017895771131188155,-43.5,-0.11725067385444744,0.34257785637095983,0.15107259327475542,-4.333333333333333,"[0.5031, 0.5375, 0.5045]","[104, 87, 180]","[-29.0, -12.0, -2.5]"
